08出品者,08場所,フィールド1,神代０７,神代０８,07場所,07出品者,出典,修正・レコード内追加,修正事項,出所･担当等,品種名,交配親・産地,分類,花色,作出命名者,所属・Sec/原種　,発表見/掲載,読み,掲載,追加,フィールド3,フィールド2,担当者,入
,,○,,,,,AA yamaguchi,,,,Carmine Splash,Tenmoku x Christopher Robin,rex,,Yamaguchi H.,Japan,1995 ad97,ｶｰﾏｲﾝ･ｽﾌﾟﾗｯｼｭ,ad97,,,,,○
,,○,,,,,BUX,,,,Cascade,In the Pink x Olei Silver Spot,cane,,Asmussen,TX,1989 ad97,ｶｽｹｰﾄﾞ,ad97,,,,,○'83
,,○,,,,,BUX,,,,Castaway,Lenore Olivier x albo- picta,cane,pink,Brad Thompson,CA,1990 ad97,ｷｬｽﾄｱｳｪｲ,ad97,,,,,
,,○,,,,,AA yamaguchi,,,,Castor,hemsleyana x (circumlabata x The Chief),rex,,Yamaguchi H.,Japan,1994 ad97,ｶｽﾄﾙ,ad97,,,,,○
,,○,,,,,BUX AUST,,,,Catherine,Suzy Clark x Silver Jewel　,rhiz,white,L. Kilpatrick,,1985Mar'93ad97,ｷｬｻﾘﾝ,ad97,,,,,
,,○,,,,,BUX,○,読み,,Catherine N,Philippine cane x Concerto,cane,,Nuss,CA,ad97,ｷｬｻﾘﾝ･Ｎ,ad97,,,,,
,,○,,,,,BUX,,,,Chalise,Carolyn Collman x Papillon,cane,,Asmussen,TX,1987 ad97,ｼｬﾘｽ,ad97,,,,,
,,○,,,,,BUX Beg'93,,,,Chameleon,dichroa seedling,cane,,Asmussen,TX,p  49 ad97,ｶﾒﾚｵﾝ,ad97,,,,,
,,○,,,,,BUX,,,,Chalice,,z,,Caviness,OK,ad97,ｼｬﾘｽ,ad97,,,,,
,,○,,,,,BUX,,,,Charles Fay,Sir Percy x unk.,rhiz,,unk,Aust.,1992Sep ad97,ﾁｬｰﾙｽﾞ･ﾌｪｲ,ad97,,,,,
,,○,,,,,BUX,,,,Cheating Heart,Ebony x Anna Christine,cane,red,Stewart,TX,1992 ad97,ﾁｰﾃｨﾝｸﾞ･ﾊｰﾄ,ad97,,,,,
,,○,,,,,AA yamaguchi,,,,Cherry Blossom Storm,tenuifolia x Tsujigahana,rex,,Yamaguchi H.,Japan,1994 ad97,ﾁｪﾘｰ･ﾌﾞﾛｯｻﾑ･ｽﾄｰﾑ,ad97,,,,,○
,,○,,,,,BUX NHG,,,,Cherry Jubilee,Olei Silver Spot x coccinea,cane,,Asmussen,TX,1984 ad97,ﾁｪﾘｰ･ｼﾞｭﾋﾞﾘｰ,ad97,,,,,○'95
,,○,,,,,JBS3,,,,Cherry Party,Lenore Olivier x Princess Diana,cane,,Kagouen,Japan,1989 ad97,ﾁｪﾘｰ･ﾊﾟｰﾃｨ-,ad97,,,,,○
,,○,,,,,BUX RBH,,,,Chester,,rhiz,,Hamm'  cat.,,1991Janad97,ﾁｪｽﾀｰ,ad97,,,,,
,,○,,,,,JBS3,,,,Chitose,Patricia Ogdon x Ofukuro,rhiz,,Kamata Y.,Japan,1994 ad97,ﾁﾄｾ　　　    　　（千歳）,ad97,,,,,○
,,○,,,,,BUX AUST,,,,Chocolate Box,Lenore Olivier x U 078,cane,pink,Bolwell,Aust.,1992Nov ad97,ﾁｮｺﾚｰﾄ･ﾎﾞｯｸｽ,ad97,,,,,
